Date,Open,High,Low,Close,Volume,Market Cap
16-Oct-16,0.008137,0.00823,0.008055,0.008078,"608,355","286,570,104"
15-Oct-16,0.008769,0.008885,0.00813,0.008146,"781,979","288,973,588"
14-Oct-16,0.00798,0.00896,0.00797,0.008767,"1,915,430","311,016,814"
13-Oct-16,0.007951,0.007984,0.007867,0.007982,"1,009,720","283,150,594"
12-Oct-16,0.008208,0.008507,0.007934,0.007949,"2,943,130","281,990,055"
11-Oct-16,0.007993,0.008324,0.007905,0.008234,"4,003,630","292,120,171"
10-Oct-16,0.007542,0.008105,0.007542,0.007978,"6,150,610","283,038,010"
9-Oct-16,0.00731,0.007563,0.007299,0.007543,"3,390,900","267,594,684"
8-Oct-16,0.007371,0.007377,0.00726,0.00731,"2,019,560","259,344,432"
7-Oct-16,0.007377,0.007459,0.00735,0.007377,"3,042,600","261,687,609"
6-Oct-16,0.007429,0.00746,0.007321,0.007382,"2,826,190","261,893,013"
5-Oct-16,0.007873,0.007895,0.007407,0.007435,"4,840,340","263,742,834"
4-Oct-16,0.008115,0.008132,0.007853,0.007853,"2,642,950","278,579,626"
3-Oct-16,0.008165,0.008241,0.008065,0.008089,"2,776,300","286,966,317"
2-Oct-16,0.008197,0.008316,0.008084,0.008165,"2,072,840","289,655,692"
1-Oct-16,0.008839,0.008848,0.008186,0.008205,"5,895,530","291,065,121"
30-Sep-16,0.00891,0.00924,0.008789,0.00883,"7,561,150","313,257,340"
29-Sep-16,0.009065,0.00909,0.008707,0.008914,"5,974,090","316,225,905"
28-Sep-16,0.00822,0.009082,0.00822,0.009048,"7,558,520","320,824,517"
27-Sep-16,0.007959,0.008306,0.007919,0.008229,"6,131,430","291,797,037"
26-Sep-16,0.007872,0.008593,0.007847,0.007963,"9,102,940","282,365,048"
25-Sep-16,0.007356,0.007986,0.007316,0.007855,"4,699,860","278,512,115"
24-Sep-16,0.007234,0.007424,0.00717,0.007362,"2,170,050","261,050,169"
23-Sep-16,0.006848,0.0073,0.006807,0.007211,"3,104,540","255,679,254"
22-Sep-16,0.006833,0.006986,0.006809,0.006843,"1,491,330","242,632,614"
21-Sep-16,0.006809,0.006908,0.006709,0.006829,"1,719,470","242,135,483"
20-Sep-16,0.006865,0.006911,0.006748,0.006785,"1,365,440","240,590,585"
19-Sep-16,0.006855,0.007178,0.006795,0.006858,"2,930,120","243,179,716"
18-Sep-16,0.007017,0.007019,0.006788,0.006853,"2,231,350","242,976,897"
17-Sep-16,0.007391,0.007535,0.006998,0.007018,"1,646,260","248,852,614"
16-Sep-16,0.008286,0.008333,0.0072,0.007446,"12,342,800","264,017,927"
15-Sep-16,0.005969,0.008765,0.005953,0.008303,"15,967,600","294,409,541"
14-Sep-16,0.005888,0.006042,0.005881,0.005961,"1,048,560","210,537,259"
13-Sep-16,0.005899,0.005905,0.005871,0.005886,"836,942","207,878,914"
12-Sep-16,0.005844,0.005912,0.005837,0.005897,"680,932","208,277,648"
11-Sep-16,0.005866,0.005895,0.005815,0.005842,"533,904","206,330,243"
10-Sep-16,0.005872,0.005882,0.005859,0.00587,"310,034","207,309,243"
9-Sep-16,0.005901,0.005907,0.005857,0.005869,"849,260","207,282,049"
8-Sep-16,0.005892,0.005941,0.005892,0.005902,"869,389","208,429,513"
7-Sep-16,0.005915,0.005925,0.005888,0.005892,"686,254","208,100,083"
6-Sep-16,0.005933,0.005955,0.0059,0.005912,"773,525","208,783,816"
5-Sep-16,0.005948,0.005966,0.005889,0.005932,"784,460","209,501,807"
4-Sep-16,0.005964,0.006002,0.005905,0.005954,"800,373","210,268,888"
3-Sep-16,0.005967,0.005992,0.005928,0.005964,"698,318","210,639,715"
2-Sep-16,0.005979,0.005985,0.005959,0.00597,"583,636","210,838,195"
1-Sep-16,0.006013,0.00603,0.00598,0.005984,"660,021","211,326,273"
31-Aug-16,0.006036,0.006045,0.005915,0.006012,"1,169,040","213,816,293"
30-Aug-16,0.00612,0.006129,0.006006,0.006026,"928,043","214,307,059"
29-Aug-16,0.005961,0.00614,0.005938,0.006131,"1,527,760","218,036,878"
28-Aug-16,0.005974,0.006001,0.005955,0.005963,"592,108","212,054,160"
27-Aug-16,0.006018,0.006042,0.005971,0.005975,"233,262","212,477,356"
26-Aug-16,0.006083,0.006097,0.006019,0.00603,"578,722","214,449,665"
25-Aug-16,0.006049,0.006085,0.006028,0.006079,"716,326","216,190,105"
24-Aug-16,0.006015,0.006059,0.005989,0.006052,"1,118,660","215,204,244"
23-Aug-16,0.006002,0.006054,0.00596,0.006019,"979,256","214,062,702"
22-Aug-16,0.006055,0.006072,0.005883,0.006,"686,434","213,377,776"
21-Aug-16,0.006116,0.006117,0.006012,0.006052,"411,952","215,211,001"
20-Aug-16,0.006126,0.006148,0.006085,0.006114,"399,635","217,425,096"
19-Aug-16,0.00612,0.006199,0.006093,0.006119,"1,356,390","217,618,198"
18-Aug-16,0.0061,0.006123,0.006044,0.006122,"1,080,170","217,700,346"
17-Aug-16,0.006144,0.006158,0.006099,0.006109,"1,352,830","217,221,264"
16-Aug-16,0.006045,0.006188,0.00603,0.00614,"1,249,860","218,332,809"
15-Aug-16,0.005993,0.006062,0.005969,0.006045,"488,337","214,946,616"
14-Aug-16,0.006092,0.006093,0.005968,0.005994,"499,048","213,138,489"
13-Aug-16,0.006119,0.006141,0.00608,0.006092,"602,600","216,632,778"
12-Aug-16,0.006188,0.006189,0.006101,0.006123,"646,843","217,713,387"
11-Aug-16,0.006196,0.006217,0.006162,0.006189,"407,711","220,083,687"
10-Aug-16,0.006147,0.006221,0.006109,0.006194,"865,808","220,257,619"
9-Aug-16,0.006027,0.006181,0.006003,0.006163,"1,105,300","219,145,368"
8-Aug-16,0.00616,0.00618,0.006021,0.006027,"722,628","214,299,540"
7-Aug-16,0.006337,0.006337,0.006156,0.006178,"1,303,100","219,668,424"
6-Aug-16,0.006448,0.00656,0.006239,0.006337,"2,164,530","225,316,083"
5-Aug-16,0.005821,0.00645,0.005813,0.006447,"697,388","229,249,140"
4-Aug-16,0.005646,0.00582,0.005644,0.005816,"1,007,960","206,790,426"
3-Aug-16,0.005688,0.005701,0.00563,0.005646,"1,570,660","200,710,745"
2-Aug-16,0.005911,0.005933,0.005686,0.00569,"1,553,690","202,266,419"
1-Aug-16,0.005942,0.005942,0.005904,0.005906,"958,956","209,968,356"
31-Jul-16,0.006118,0.006122,0.005944,0.005945,"648,205","211,342,369"
30-Jul-16,0.006112,0.006164,0.006107,0.006121,"442,025","217,588,528"
29-Jul-16,0.005974,0.006112,0.005969,0.006111,"779,667","217,239,070"
28-Jul-16,0.005973,0.005986,0.005947,0.005974,"1,264,650","212,363,013"
27-Jul-16,0.005996,0.006008,0.005954,0.005969,"1,370,090","212,199,157"
26-Jul-16,0.006246,0.00625,0.005983,0.005998,"1,547,830","213,216,247"
25-Jul-16,0.006293,0.006297,0.006225,0.006246,"881,632","222,056,856"
24-Jul-16,0.006328,0.006333,0.006228,0.006286,"315,687","223,450,777"
23-Jul-16,0.006303,0.006335,0.00627,0.006317,"356,569","224,560,297"
22-Jul-16,0.006417,0.006423,0.006303,0.006303,"780,192","224,070,061"
21-Jul-16,0.00639,0.006564,0.006374,0.006416,"811,193","228,101,447"
20-Jul-16,0.006404,0.006422,0.00638,0.006395,"790,117","226,619,152"
19-Jul-16,0.006479,0.006485,0.006397,0.006405,"550,843","226,990,900"
18-Jul-16,0.006538,0.00654,0.006481,0.006482,"442,793","229,706,533"
17-Jul-16,0.006571,0.006591,0.006516,0.006538,"529,265","231,694,974"
16-Jul-16,0.006442,0.006572,0.00644,0.006572,"659,904","232,898,103"
15-Jul-16,0.006388,0.006452,0.006388,0.006442,"753,167","228,293,610"
